zone_id,model_type,r2_score,mae,rmse,zone_category,training_samples,test_samples,best_params
zone_baner_residential_01,RandomForest,0.9916000767951383,0.014217185264664126,0.02974238244539694,it_corporate,1326,233,"{'max_depth': 20, 'max_features': 0.8, 'min_samples_leaf': 2, 'n_estimators': 200}"
zone_baramati_01,GradientBoosting,0.9999999999999876,1.1033302819776471e-08,1.1523133785671465e-08,mixed_suburban,1326,233,"{'learning_rate': 0.15, 'max_depth': 6, 'n_estimators': 100}"
zone_baramati_midc_01,GradientBoosting,0.9977667448227964,0.00036481841309080043,0.005568534898509602,industrial,1321,233,"{'learning_rate': 0.15, 'max_depth': 6, 'n_estimators': 150}"
zone_bavdhan_01,GradientBoosting,0.9999999999999876,1.1033302819776471e-08,1.1523133785671465e-08,mixed_suburban,1326,233,"{'learning_rate': 0.15, 'max_depth': 6, 'n_estimators': 100}"
zone_bavdhan_chandni_01,GradientBoosting,0.9999999999999876,1.1034240690921071e-08,1.1523727279281282e-08,mixed_suburban,1325,233,"{'learning_rate': 0.15, 'max_depth': 6, 'n_estimators': 100}"
zone_bhosari_01,RandomForest,0.9987914538373094,0.0009523283261812609,0.004078072063766164,industrial,1326,233,"{'max_depth': 20, 'max_features': 0.8, 'min_samples_leaf': 2, 'n_estimators': 200}"
zone_bhosari_industrial_01,GradientBoosting,0.999433204955675,0.00018320106954466904,0.0027902615824978104,industrial,1319,232,"{'learning_rate': 0.15, 'max_depth': 6, 'n_estimators': 150}"
zone_bibvewadi_01,GradientBoosting,0.9999999999999876,1.1033302819776471e-08,1.1523133785671465e-08,mixed_suburban,1326,233,"{'learning_rate': 0.15, 'max_depth': 6, 'n_estimators': 100}"
zone_bibvewadi_market_01,GradientBoosting,0.9998966927504701,0.00040247101985333675,0.0020804007051809167,commercial_medium,1326,233,"{'learning_rate': 0.15, 'max_depth': 6, 'n_estimators': 150}"
zone_camp_01,GradientBoosting,0.9981752669805397,0.001029738962891741,0.00981215557528315,commercial_high,1324,233,"{'learning_rate': 0.15, 'max_depth': 6, 'n_estimators': 150}"
zone_camp_02,GradientBoosting,0.9994264816793005,0.001046770018757157,0.005476461766255696,commercial_high,1325,233,"{'learning_rate': 0.15, 'max_depth': 8, 'n_estimators': 100}"
zone_camp_03,GradientBoosting,0.9994264816793005,0.001046770018757157,0.005476461766255696,commercial_high,1325,233,"{'learning_rate': 0.15, 'max_depth': 8, 'n_estimators': 100}"
zone_camp_east_01,GradientBoosting,0.9997730737363452,0.0007040214489065439,0.003446106172424408,commercial_high,1323,233,"{'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 150}"
zone_camp_main_01,GradientBoosting,0.9981445310317065,0.001619368135336684,0.009894448850181625,commercial_high,1322,233,"{'learning_rate': 0.15, 'max_depth': 6, 'n_estimators': 100}"
